age,sector,education_years,profession,marital,ethinicity,gender,work_hours,origin_country,salary_over_50K
23,Private,10,Other-service,Own-child,White,Female,40,United-States,No
28,Private,13,Prof-specialty,Own-child,White,Female,40,United-States,Yes
50,Self-emp-inc,9,Sales,Husband,White,Male,48,United-States,Yes
30,Self-emp-inc,13,Sales,Husband,White,Male,52,United-States,Yes
22,Private,10,Transport-moving,Own-child,Asian-Pac-Islander,Male,40,United-States,No
37,Private,9,Handlers-cleaners,Husband,White,Male,40,United-States,No
46,Self-emp-not-inc,15,Prof-specialty,Husband,White,Male,45,United-States,Yes
35,Private,14,Sales,Husband,White,Male,40,United-States,Yes
42,Private,9,Adm-clerical,Wife,White,Female,35,United-States,No
44,Private,9,Machine-op-inspct,Own-child,White,Male,40,United-States,No
29,Self-emp-not-inc,10,Exec-managerial,Other-relative,White,Male,45,United-States,Yes
20,Private,9,Handlers-cleaners,Own-child,White,Male,30,United-States,No
31,Self-emp-not-inc,11,Craft-repair,Husband,White,Male,50,United-States,No
59,Self-emp-not-inc,9,Exec-managerial,Husband,White,Male,52,United-States,Yes
22,Private,6,Other-service,Own-child,White,Female,40,United-States,No
38,Private,13,Sales,Husband,White,Male,40,United-States,Yes
30,Self-emp-not-inc,9,Craft-repair,Not-in-family,White,Male,40,United-States,No
30,Local-gov,9,Adm-clerical,Wife,White,Female,40,United-States,Yes
40,Self-emp-not-inc,10,Craft-repair,Husband,White,Male,60,United-States,No
20,State-gov,12,Other-service,Own-child,White,Male,20,United-States,No
62,,14,,Husband,White,Male,30,United-States,Yes
50,Self-emp-not-inc,9,Exec-managerial,Husband,White,Male,45,United-States,Yes
40,Private,13,Sales,Husband,White,Male,50,United-States,Yes
63,,9,,Husband,White,Male,55,United-States,Yes
33,Private,10,Sales,Husband,White,Male,44,United-States,No
47,Private,14,Prof-specialty,Not-in-family,White,Female,40,United-States,No
45,Local-gov,7,Other-service,Wife,White,Female,25,United-States,No
18,,10,,Own-child,White,Male,30,United-States,No
57,Self-emp-not-inc,9,Exec-managerial,Husband,White,Male,1,United-States,No
46,Private,10,Adm-clerical,Husband,White,Male,40,United-States,No
28,Private,9,Prof-specialty,Not-in-family,White,Female,40,United-States,No
30,Private,13,Exec-managerial,Not-in-family,White,Male,40,United-States,No
37,Private,13,Exec-managerial,Unmarried,White,Female,45,United-States,Yes
39,Private,9,Machine-op-inspct,Not-in-family,Black,Female,52,United-States,No
27,Private,11,Machine-op-inspct,Unmarried,White,Male,45,United-States,No
20,Private,10,Exec-managerial,Not-in-family,White,Female,40,United-States,No
37,Self-emp-inc,9,Craft-repair,Husband,White,Male,40,United-States,No
26,Private,9,Exec-managerial,Own-child,Other,Female,40,Mexico,No
48,Local-gov,9,Exec-managerial,Own-child,White,Female,40,United-States,No
44,Private,15,Prof-specialty,Husband,White,Male,65,United-States,Yes
52,Private,11,Craft-repair,Husband,White,Male,40,United-States,Yes
21,Private,9,Adm-clerical,Not-in-family,White,Female,30,United-States,No
32,Private,13,Prof-specialty,Own-child,White,Male,40,United-States,No
18,,7,,Own-child,White,Female,25,United-States,No
35,Private,15,Prof-specialty,Husband,White,Male,80,United-States,Yes
40,Self-emp-inc,14,Exec-managerial,Wife,White,Female,30,Iran,Yes
54,Private,6,Handlers-cleaners,Husband,White,Male,40,United-States,No
22,,10,,Own-child,Asian-Pac-Islander,Male,40,China,No
31,Private,12,Other-service,Not-in-family,White,Female,32,United-States,No
47,Private,9,Other-service,Unmarried,Black,Male,9,United-States,No
17,Private,6,Other-service,Own-child,White,Male,20,United-States,No
50,Private,13,Prof-specialty,Husband,White,Male,40,United-States,No
47,Federal-gov,9,Adm-clerical,Husband,Black,Male,40,United-States,Yes
40,Private,11,Prof-specialty,Unmarried,White,Male,40,United-States,No
64,,11,,Wife,White,Female,15,United-States,No
61,Private,14,Exec-managerial,Husband,White,Male,60,United-States,Yes
34,Private,9,Exec-managerial,Wife,Black,Female,40,United-States,No
25,Private,6,Other-service,Not-in-family,White,Male,24,Nicaragua,No
55,Self-emp-not-inc,12,Sales,Not-in-family,White,Female,40,United-States,No
26,Private,9,Craft-repair,Not-in-family,White,Male,40,United-States,No
17,Private,6,Sales,Own-child,White,Female,30,United-States,No
34,Private,14,Sales,Husband,White,Male,40,United-States,No
46,State-gov,14,Exec-managerial,Not-in-family,White,Female,38,United-States,No
40,Private,16,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,India,Yes
46,Private,10,Exec-managerial,Husband,White,Male,50,United-States,Yes
33,Private,11,Craft-repair,Husband,White,Male,40,United-States,Yes
31,Private,11,Other-service,Unmarried,White,Female,40,United-States,No
50,Private,10,Sales,Husband,White,Male,45,United-States,Yes
37,State-gov,10,Other-service,Husband,White,Male,40,United-States,No
29,Private,9,Craft-repair,Husband,White,Male,40,United-States,No
26,State-gov,9,Craft-repair,Unmarried,White,Male,50,United-States,No
18,Private,10,Other-service,Own-child,White,Female,40,,No
63,Private,10,Prof-specialty,Wife,White,Female,12,United-States,No
75,Self-emp-not-inc,16,Prof-specialty,Husband,White,Male,3,United-States,No
35,Federal-gov,13,Craft-repair,Husband,White,Male,40,United-States,Yes
58,Self-emp-not-inc,9,Farming-fishing,Husband,White,Male,50,United-States,No
27,Private,10,Machine-op-inspct,Husband,White,Male,40,United-States,No
59,Private,6,Transport-moving,Husband,White,Male,45,United-States,Yes
38,Private,9,Other-service,Wife,White,Female,25,United-States,No
45,Private,11,Exec-managerial,Husband,White,Male,50,United-States,Yes
46,Private,9,Craft-repair,Husband,Black,Male,60,United-States,Yes
59,Local-gov,10,Exec-managerial,Husband,White,Male,60,United-States,Yes
54,Self-emp-not-inc,13,Farming-fishing,Husband,White,Male,50,United-States,No
59,State-gov,13,Exec-managerial,Husband,White,Male,50,United-States,Yes
20,Private,9,Sales,Other-relative,White,Male,20,United-States,No
20,Private,10,Other-service,Own-child,White,Male,35,United-States,No
32,Private,13,Exec-managerial,Husband,White,Male,40,United-States,Yes
27,Private,10,Machine-op-inspct,Unmarried,White,Female,40,United-States,No
55,Private,14,Exec-managerial,Husband,White,Male,60,United-States,Yes
31,Self-emp-not-inc,4,Craft-repair,Husband,White,Male,40,United-States,No
39,Local-gov,10,Protective-serv,Husband,White,Male,40,United-States,Yes
47,Local-gov,12,Exec-managerial,Not-in-family,White,Male,40,United-States,No
49,Private,13,Sales,Husband,White,Male,45,United-States,Yes
53,Private,2,Transport-moving,Husband,White,Male,50,United-States,No
44,Private,13,Other-service,Not-in-family,White,Male,40,United-States,Yes
60,Private,4,Other-service,Not-in-family,White,Male,40,United-States,No
17,Private,7,Sales,Own-child,White,Male,20,United-States,No
62,Private,9,Sales,Not-in-family,White,Female,43,United-States,No
51,Private,13,Farming-fishing,Husband,White,Male,40,Canada,No
37,Private,12,Sales,Husband,White,Male,40,United-States,No
44,Private,10,Exec-managerial,Wife,White,Female,70,United-States,Yes
31,Private,14,Prof-specialty,Husband,White,Male,40,United-States,Yes
43,Private,13,Prof-specialty,Husband,White,Male,40,United-States,Yes
60,Private,14,Transport-moving,Husband,White,Male,10,United-States,No
36,Private,9,Other-service,Wife,Asian-Pac-Islander,Female,2,Taiwan,No
48,Self-emp-not-inc,13,Exec-managerial,Not-in-family,Black,Male,40,Jamaica,Yes
62,Private,9,Adm-clerical,Husband,White,Male,40,United-States,Yes
48,Private,9,Craft-repair,Unmarried,Black,Male,45,United-States,No
35,Private,10,Other-service,Unmarried,Black,Female,40,United-States,No
17,,6,,Own-child,White,Female,20,United-States,No
51,Local-gov,9,Craft-repair,Husband,White,Male,40,United-States,Yes
61,Private,13,Prof-specialty,Husband,White,Male,50,United-States,Yes
36,Local-gov,13,Prof-specialty,Husband,White,Male,50,United-States,No
27,Private,9,Sales,Own-child,White,Female,35,United-States,No
30,Private,11,Prof-specialty,Not-in-family,White,Female,40,United-States,No
28,Self-emp-not-inc,13,Sales,Wife,White,Female,5,United-States,No
46,Self-emp-not-inc,14,Exec-managerial,Husband,White,Male,45,United-States,Yes
29,Private,9,Other-service,Not-in-family,White,Male,40,United-States,Yes
41,Private,9,Transport-moving,Husband,White,Male,50,United-States,No
26,Private,13,Sales,Husband,White,Male,40,United-States,Yes
29,Private,16,Prof-specialty,Own-child,White,Male,40,United-States,No
45,Private,10,Craft-repair,Not-in-family,White,Male,56,United-States,Yes
56,Self-emp-not-inc,9,Transport-moving,Husband,White,Male,90,United-States,No
69,Self-emp-inc,14,Exec-managerial,Husband,White,Male,40,United-States,Yes
20,Private,9,Craft-repair,Own-child,White,Male,30,United-States,No
53,Private,13,Exec-managerial,Husband,White,Male,44,United-States,Yes
69,Private,7,Prof-specialty,Husband,Black,Male,45,United-States,No
20,Private,9,Adm-clerical,Own-child,White,Male,30,Nicaragua,No
33,Private,13,Exec-managerial,Husband,White,Male,60,United-States,Yes
65,,9,,Husband,White,Male,40,United-States,Yes
62,Private,16,Prof-specialty,Husband,White,Male,40,,Yes
41,Private,15,Prof-specialty,Husband,White,Male,40,United-States,Yes
27,,10,,Own-child,White,Male,40,United-States,No
21,Private,11,Tech-support,Own-child,White,Female,30,United-States,No
23,,10,,Own-child,White,Female,10,United-States,No
38,Local-gov,11,Exec-managerial,Own-child,White,Male,40,United-States,No
39,Private,13,Prof-specialty,Husband,White,Male,40,United-States,Yes
37,Private,12,Prof-specialty,Husband,White,Male,45,United-States,Yes
24,Private,13,Adm-clerical,Not-in-family,White,Male,40,United-States,No
25,Private,13,Adm-clerical,Not-in-family,White,Male,40,United-States,Yes
56,,9,,Not-in-family,White,Male,10,United-States,No
54,Self-emp-not-inc,10,Sales,Husband,White,Male,50,United-States,No
31,Federal-gov,12,Tech-support,Husband,White,Male,40,United-States,No
48,Private,6,Machine-op-inspct,Unmarried,White,Female,32,United-States,No
23,,10,,Unmarried,Amer-Indian-Eskimo,Female,25,United-States,No
25,Private,10,Adm-clerical,Unmarried,White,Female,40,United-States,No
35,Private,9,Exec-managerial,Husband,White,Male,40,United-States,Yes
31,Local-gov,13,Other-service,Husband,White,Male,38,United-States,Yes
22,Private,9,Sales,Own-child,Black,Female,40,United-States,No
40,Private,10,Handlers-cleaners,Not-in-family,White,Male,48,United-States,No
36,Private,13,Sales,Husband,White,Male,50,United-States,Yes
20,,10,,Own-child,White,Female,8,United-States,No
44,Private,13,Exec-managerial,Husband,Black,Male,35,United-States,Yes
47,Private,9,Machine-op-inspct,Wife,White,Female,40,United-States,No
33,Private,9,Craft-repair,Not-in-family,White,Male,40,United-States,Yes
35,Private,10,Prof-specialty,Unmarried,White,Female,40,United-States,No
72,Private,4,Other-service,Not-in-family,White,Female,99,,No
59,,9,,Wife,White,Female,40,United-States,Yes
55,Private,10,Prof-specialty,Husband,White,Male,40,United-States,No
23,Private,10,Sales,Not-in-family,Black,Female,20,United-States,No
39,Private,10,Exec-managerial,Husband,White,Male,50,United-States,Yes
38,Federal-gov,14,Exec-managerial,Husband,White,Male,40,United-States,Yes
20,Private,10,Other-service,Own-child,White,Female,20,United-States,No
23,Private,9,Adm-clerical,Own-child,White,Female,40,United-States,No
47,Private,9,Prof-specialty,Other-relative,Other,Female,40,Puerto-Rico,No
17,,6,,Own-child,White,Male,40,United-States,No
44,Private,13,Exec-managerial,Own-child,White,Female,50,United-States,Yes
74,,6,,Husband,Amer-Indian-Eskimo,Male,30,United-States,No
30,Private,10,Sales,Husband,White,Male,45,United-States,No
46,Private,14,Prof-specialty,Unmarried,White,Female,50,United-States,No
56,Private,10,Machine-op-inspct,Husband,White,Male,40,United-States,No
30,Local-gov,13,Exec-managerial,Own-child,White,Male,40,United-States,No
31,Private,9,Other-service,Unmarried,White,Female,40,Mexico,No
23,Private,13,Exec-managerial,Own-child,White,Female,40,United-States,No
34,Private,10,Tech-support,Husband,White,Male,40,United-States,Yes
33,Private,14,Exec-managerial,Own-child,White,Female,50,United-States,Yes
24,Private,13,Sales,Own-child,White,Male,40,United-States,No
62,,4,,Husband,White,Male,40,United-States,Yes
36,Private,13,Prof-specialty,Not-in-family,White,Female,45,United-States,Yes
26,Local-gov,13,Prof-specialty,Not-in-family,Black,Female,40,United-States,No
64,Self-emp-inc,11,Craft-repair,Husband,White,Male,10,United-States,No
61,Private,9,Craft-repair,Husband,White,Male,45,United-States,Yes
68,Self-emp-not-inc,10,Sales,Husband,White,Male,40,United-States,Yes
35,Private,9,Farming-fishing,Husband,White,Male,50,United-States,No
40,Private,9,Transport-moving,Unmarried,Black,Female,40,United-States,No
30,Private,10,Adm-clerical,Not-in-family,Other,Male,40,,No
38,Private,13,Tech-support,Not-in-family,White,Female,45,United-States,No
29,Private,9,Machine-op-inspct,Other-relative,Other,Male,40,Ecuador,No
27,Private,1,Farming-fishing,Other-relative,White,Male,24,Mexico,No
20,Private,12,Adm-clerical,Not-in-family,White,Female,30,United-States,No
31,Private,10,Other-service,Husband,Asian-Pac-Islander,Male,55,,Yes
23,Private,6,Craft-repair,Not-in-family,White,Female,40,United-States,No
81,Self-emp-not-inc,2,Sales,Other-relative,White,Male,45,Mexico,No
34,Private,6,Other-service,Unmarried,Black,Female,40,Jamaica,No
41,Self-emp-not-inc,16,Prof-specialty,Husband,White,Male,55,United-States,Yes
18,Private,10,Adm-clerical,Own-child,White,Female,25,United-States,No
23,Private,3,Transport-moving,Other-relative,White,Male,40,Mexico,No
60,Private,9,Handlers-cleaners,Not-in-family,White,Male,40,United-States,No
21,Private,9,Sales,Own-child,White,Female,40,,No
25,Private,10,Other-service,Own-child,White,Female,40,United-States,No
23,Private,9,Sales,Own-child,Asian-Pac-Islander,Male,48,South,No
21,Private,10,Other-service,Own-child,White,Female,25,Germany,No
25,Private,10,Craft-repair,Husband,White,Male,60,United-States,Yes
30,Private,15,Sales,Own-child,White,Male,55,United-States,No
59,Private,13,Adm-clerical,Unmarried,White,Female,40,United-States,No
21,Private,10,Exec-managerial,Not-in-family,White,Female,38,United-States,No
64,Federal-gov,16,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,China,Yes
59,Private,10,Sales,Husband,White,Male,40,United-States,Yes
74,Private,9,Other-service,Husband,White,Male,30,United-States,No
35,Private,9,Transport-moving,Husband,White,Male,40,United-States,No
57,Private,13,Exec-managerial,Husband,White,Male,50,United-States,Yes
29,,9,,Not-in-family,White,Male,40,United-States,No
31,Private,2,Machine-op-inspct,Husband,White,Male,40,Mexico,No
21,,10,,Unmarried,White,Female,35,United-States,No
39,Private,8,Handlers-cleaners,Not-in-family,White,Male,40,United-States,No
54,Self-emp-not-inc,4,Farming-fishing,Husband,White,Male,60,United-States,No
37,Federal-gov,10,Machine-op-inspct,Husband,White,Male,40,United-States,No
17,Private,7,Sales,Own-child,White,Female,15,United-States,No
68,Private,12,Exec-managerial,Not-in-family,White,Female,43,United-States,No
35,Private,12,Other-service,Not-in-family,White,Female,80,United-States,Yes
43,Private,11,Machine-op-inspct,Not-in-family,White,Male,40,United-States,No
57,Local-gov,10,Handlers-cleaners,Husband,Black,Male,40,United-States,Yes
31,Private,8,Farming-fishing,Not-in-family,Black,Male,60,United-States,No
75,Self-emp-not-inc,14,Sales,Not-in-family,White,Male,45,United-States,No
22,Private,3,Farming-fishing,Other-relative,White,Male,40,Mexico,No
52,Local-gov,9,Adm-clerical,Unmarried,Black,Female,40,United-States,No
50,Local-gov,14,Prof-specialty,Husband,White,Male,50,United-States,No
46,Private,13,Sales,Unmarried,Black,Female,35,United-States,Yes
42,Private,13,Adm-clerical,Unmarried,White,Male,30,United-States,No
50,Private,9,Craft-repair,Husband,White,Male,40,United-States,Yes
36,Private,13,Exec-managerial,Husband,Black,Male,45,United-States,Yes
26,Private,9,Machine-op-inspct,Wife,White,Female,56,United-States,No
42,Federal-gov,14,Prof-specialty,Husband,White,Male,40,United-States,Yes
32,Private,10,Other-service,Not-in-family,White,Male,50,United-States,No
54,Private,6,Transport-moving,Husband,Black,Male,40,United-States,No
18,Private,10,Adm-clerical,Own-child,White,Female,15,United-States,No
72,Self-emp-not-inc,10,Craft-repair,Husband,White,Male,35,United-States,No
28,Private,10,Adm-clerical,Not-in-family,White,Female,40,United-States,No
17,Private,7,Other-service,Not-in-family,White,Female,20,United-States,No
48,Private,14,Sales,Not-in-family,White,Male,35,United-States,No
33,Private,9,Transport-moving,Husband,White,Male,60,United-States,Yes
63,,9,,Husband,White,Male,40,United-States,Yes
37,Private,9,Adm-clerical,Unmarried,White,Female,45,United-States,No
59,Private,6,Transport-moving,Husband,Black,Male,40,United-States,Yes
22,Private,9,Transport-moving,Husband,Black,Male,40,United-States,No
48,Private,14,Exec-managerial,Wife,White,Female,38,United-States,Yes
36,Private,10,Exec-managerial,Husband,White,Male,40,United-States,Yes
55,Self-emp-not-inc,14,Sales,Husband,White,Male,50,United-States,No
45,Private,11,Craft-repair,Husband,White,Male,76,United-States,No
30,Private,13,Craft-repair,Husband,White,Male,40,United-States,No
40,Private,11,Tech-support,Not-in-family,White,Male,40,United-States,No
49,Private,10,Sales,Husband,White,Male,80,United-States,Yes
17,,6,,Own-child,White,Male,40,United-States,No
42,Private,10,Craft-repair,Husband,White,Male,40,United-States,No
29,State-gov,6,Other-service,Own-child,Black,Female,40,United-States,No
22,Private,10,Sales,Own-child,White,Female,48,Iran,No
48,State-gov,13,Exec-managerial,Husband,White,Male,40,United-States,Yes
47,Private,11,Craft-repair,Husband,White,Male,60,,Yes
38,Self-emp-not-inc,14,Farming-fishing,Husband,White,Male,70,United-States,No
35,Self-emp-not-inc,14,Sales,Husband,White,Male,40,United-States,Yes
37,Private,9,Farming-fishing,Not-in-family,White,Male,50,United-States,No
27,Private,13,Prof-specialty,Not-in-family,White,Male,45,United-States,No
45,Self-emp-inc,3,Craft-repair,Husband,White,Male,40,,Yes
35,State-gov,9,Protective-serv,Unmarried,White,Female,40,United-States,No
36,Local-gov,13,Prof-specialty,Unmarried,White,Male,40,United-States,No
53,Private,9,Transport-moving,Husband,White,Male,60,United-States,Yes
52,Private,10,Exec-managerial,Husband,White,Male,55,Canada,Yes
26,Private,8,Transport-moving,Own-child,Black,Male,40,United-States,No
18,Private,7,Other-service,Own-child,White,Female,20,United-States,No
41,Private,13,Sales,Wife,White,Female,12,United-States,Yes
47,Local-gov,16,Prof-specialty,Unmarried,White,Female,40,United-States,No
21,Private,10,Other-service,Not-in-family,Black,Female,30,United-States,No
33,Private,10,Exec-managerial,Husband,White,Male,45,United-States,Yes
28,Self-emp-not-inc,9,Other-service,Not-in-family,White,Female,28,United-States,No
47,Private,13,Prof-specialty,Husband,White,Male,50,United-States,Yes
28,Private,9,Machine-op-inspct,Wife,White,Female,40,United-States,No
36,Private,13,Prof-specialty,Wife,White,Female,50,Iran,Yes
61,Private,10,Exec-managerial,Husband,White,Male,45,United-States,Yes
61,State-gov,8,Craft-repair,Husband,White,Male,40,United-States,No
23,Private,11,Machine-op-inspct,Own-child,White,Male,40,United-States,No
38,Private,15,Prof-specialty,Husband,White,Male,40,United-States,Yes
74,Private,13,Other-service,Not-in-family,White,Female,8,United-States,No
41,Private,10,Craft-repair,Husband,Amer-Indian-Eskimo,Male,50,United-States,Yes
21,Private,9,Craft-repair,Not-in-family,White,Male,40,United-States,No
28,Private,10,Adm-clerical,Own-child,White,Female,40,United-States,No
24,Private,12,Sales,Not-in-family,White,Male,35,United-States,No
42,Private,14,Exec-managerial,Not-in-family,White,Female,50,United-States,Yes
20,,10,,Own-child,White,Male,20,United-States,No
49,Private,10,Craft-repair,Husband,White,Male,40,United-States,Yes
21,Private,10,Sales,Own-child,White,Male,40,Columbia,No
37,Private,10,Machine-op-inspct,Not-in-family,White,Male,52,United-States,No
48,Self-emp-not-inc,14,Exec-managerial,Husband,White,Male,40,Mexico,Yes
24,Private,9,Other-service,Unmarried,White,Female,40,United-States,No
21,Private,11,Craft-repair,Own-child,Black,Male,40,United-States,No
22,Private,7,Sales,Own-child,White,Male,50,United-States,No
42,Self-emp-not-inc,13,Farming-fishing,Husband,White,Male,80,United-States,Yes
49,Federal-gov,14,Adm-clerical,Husband,White,Male,40,United-States,Yes
17,Private,6,Other-service,Own-child,White,Male,25,United-States,No
44,Federal-gov,12,Craft-repair,Husband,White,Male,40,United-States,Yes
53,Private,9,Transport-moving,Not-in-family,White,Male,40,United-States,Yes
61,Private,13,Prof-specialty,Husband,White,Male,40,United-States,No
61,Local-gov,13,Exec-managerial,Husband,White,Male,50,United-States,Yes
46,Local-gov,14,Prof-specialty,Wife,White,Female,45,United-States,Yes
26,Private,13,Exec-managerial,Not-in-family,White,Female,50,United-States,No
39,Private,13,Exec-managerial,Not-in-family,White,Female,40,United-States,No
41,Private,10,Adm-clerical,Unmarried,Black,Female,48,United-States,No
50,Local-gov,10,Protective-serv,Husband,White,Male,40,United-States,Yes
22,Private,13,Other-service,Not-in-family,White,Male,30,United-States,No
39,Private,14,Prof-specialty,Husband,White,Male,40,United-States,Yes
56,Private,5,Sales,Unmarried,White,Female,40,United-States,No
36,Private,10,Machine-op-inspct,Own-child,White,Female,30,United-States,No
34,Private,13,Prof-specialty,Husband,White,Male,60,United-States,Yes
19,Private,9,Craft-repair,Own-child,White,Male,60,United-States,No
61,Private,9,Transport-moving,Husband,White,Male,40,United-States,Yes
44,Self-emp-inc,13,Sales,Husband,Asian-Pac-Islander,Male,50,,Yes
37,Private,14,Exec-managerial,Unmarried,White,Male,60,United-States,Yes
32,Private,9,Priv-house-serv,Unmarried,White,Female,40,Mexico,No
50,Federal-gov,10,Exec-managerial,Husband,Black,Male,40,United-States,No
51,Self-emp-not-inc,13,Sales,Husband,Asian-Pac-Islander,Male,40,China,Yes
39,Private,10,Prof-specialty,Not-in-family,White,Female,45,United-States,Yes
60,Private,11,Craft-repair,Not-in-family,White,Female,30,United-States,No
25,Private,6,Exec-managerial,Husband,White,Male,40,United-States,No
40,Private,9,Craft-repair,Not-in-family,White,Male,40,Canada,No
31,Private,13,Tech-support,Not-in-family,White,Male,40,United-States,No
20,Private,9,Protective-serv,Own-child,White,Male,40,United-States,No
19,Private,10,Adm-clerical,Own-child,White,Female,20,United-States,No
59,Local-gov,13,Prof-specialty,Husband,White,Male,40,United-States,Yes
53,Self-emp-not-inc,14,Exec-managerial,Husband,White,Male,40,United-States,Yes
51,Private,9,Adm-clerical,Not-in-family,White,Female,40,United-States,No
51,Self-emp-not-inc,12,Sales,Husband,White,Male,40,United-States,Yes
49,Private,9,Farming-fishing,Husband,White,Male,40,United-States,No
36,Self-emp-not-inc,4,Machine-op-inspct,Husband,White,Male,45,United-States,Yes
55,Private,13,Prof-specialty,Husband,White,Male,40,United-States,Yes
51,Private,4,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,47,United-States,No
66,Private,9,Adm-clerical,Not-in-family,White,Female,13,United-States,No
47,Private,10,Other-service,Husband,White,Male,57,United-States,Yes
32,Private,10,Craft-repair,Own-child,White,Male,40,United-States,Yes
28,Private,13,Prof-specialty,Not-in-family,White,Male,55,United-States,Yes
67,Self-emp-not-inc,16,Prof-specialty,Husband,White,Male,35,United-States,Yes
72,Private,9,Other-service,Not-in-family,White,Female,16,United-States,No
48,Private,12,Exec-managerial,Husband,White,Male,50,United-States,Yes
43,Private,9,Craft-repair,Not-in-family,White,Male,40,United-States,No
61,,9,,Not-in-family,White,Female,99,United-States,No
45,Private,10,Other-service,Unmarried,White,Female,45,United-States,No
32,Private,11,Other-service,Husband,White,Male,60,United-States,Yes
64,,9,,Not-in-family,White,Male,40,United-States,Yes
32,Private,10,Other-service,Other-relative,Asian-Pac-Islander,Male,40,,No
43,Private,13,Handlers-cleaners,Husband,Black,Male,40,Haiti,Yes
21,Private,10,Sales,Unmarried,White,Male,40,United-States,No
56,Private,10,Transport-moving,Husband,Black,Male,40,United-States,No
30,Private,10,Sales,Husband,White,Male,50,United-States,No
56,Self-emp-not-inc,13,Adm-clerical,Husband,White,Male,40,United-States,Yes
33,Local-gov,9,Craft-repair,Unmarried,White,Male,40,United-States,No
44,Private,7,Adm-clerical,Husband,White,Male,40,United-States,Yes
25,Local-gov,13,Adm-clerical,Husband,White,Male,40,United-States,No
57,Self-emp-not-inc,16,Sales,Husband,White,Male,40,United-States,Yes
23,Private,9,Craft-repair,Own-child,White,Male,37,Mexico,No
27,Private,9,Exec-managerial,Own-child,White,Male,40,United-States,No
28,Self-emp-not-inc,9,Sales,Husband,White,Male,50,United-States,Yes
50,Private,9,Adm-clerical,Not-in-family,White,Female,40,United-States,No
27,Local-gov,9,Handlers-cleaners,Other-relative,White,Male,50,United-States,No
38,Self-emp-not-inc,13,Exec-managerial,Husband,White,Male,60,United-States,No
