CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Attrition_Flag
806160108,61.0,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,Existing Customer
709327383,45.0,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,Existing Customer
806165208,47.0,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,Existing Customer
708508758,,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,Attrited Customer
784725333,41.0,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,Existing Customer
811604133,47.0,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,Existing Customer
789124683,54.0,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,Existing Customer
771071958,41.0,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,Existing Customer
720466383,59.0,M,1,High School,Unknown,$40K - $60K,,46,4,1,2,14784.0,1374,13410.0,Existing Customer
804424383,63.0,M,1,Unknown,Married,$60K - $80K,,56,3,3,2,,1010,9205.0,Existing Customer
718813833,44.0,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,Existing Customer
806624208,47.0,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,Existing Customer
778348233,53.0,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,Existing Customer
712991808,53.0,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,,1690,761.0,Existing Customer
709029408,41.0,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,Existing Customer
788658483,53.0,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,Existing Customer
787937058,58.0,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,Existing Customer
715318008,55.0,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,Existing Customer
713962233,,F,3,Graduate,Married,Less than $40K,,36,6,2,3,3035.0,2298,737.0,Existing Customer
785432733,42.0,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,Existing Customer
715190283,57.0,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,Existing Customer
708300483,66.0,F,0,Doctorate,Married,Unknown,,56,5,4,3,,605,7277.0,Attrited Customer
827111283,45.0,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,Existing Customer
758551608,51.0,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,,2204,4001.0,Existing Customer
773146383,50.0,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,Existing Customer
778493808,49.0,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,Existing Customer
720572508,38.0,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,Existing Customer
712661433,49.0,M,4,Uneducated,Single,$80K - $120K,,30,3,2,3,34516.0,0,34516.0,Existing Customer
789172683,56.0,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,Existing Customer
738406533,59.0,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,Existing Customer
799723908,46.0,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,Existing Customer
771490833,52.0,M,1,College,Single,$80K - $120K,,40,5,1,1,4745.0,1227,3518.0,Existing Customer
720756708,,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,Existing Customer
779471883,54.0,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,Attrited Customer
711525033,66.0,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,Existing Customer
712813458,49.0,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,,2517,17246.0,Existing Customer
714374133,56.0,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,Attrited Customer
717891558,49.0,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,Existing Customer
716632758,49.0,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,,2363,439.0,Existing Customer
768563658,56.0,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,Existing Customer
711427458,44.0,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,Existing Customer
714091983,42.0,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,Existing Customer
787584108,55.0,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,Existing Customer
712030833,48.0,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,,0,34516.0,Attrited Customer
711481533,39.0,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,Existing Customer
710082708,44.0,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,Existing Customer
708155733,,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,Existing Customer
788979258,,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,Existing Customer
807986133,57.0,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,Existing Customer
788730933,44.0,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,Existing Customer
711314058,49.0,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,Existing Customer
717975333,50.0,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,,1330,23970.0,Existing Customer
715971108,51.0,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,,1763,32753.0,Existing Customer
720096558,55.0,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,Existing Customer
719580033,54.0,M,1,Graduate,Unknown,$60K - $80K,,43,4,2,3,2910.0,2030,880.0,Existing Customer
820582308,,M,5,Uneducated,Married,$80K - $120K,,37,6,2,2,22913.0,1528,21385.0,Existing Customer
789973308,,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,Existing Customer
712876233,53.0,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,,1515,3757.0,Existing Customer
804595158,44.0,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,Existing Customer
714826758,37.0,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,Existing Customer
779058108,49.0,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,,1823,713.0,Existing Customer
710790258,47.0,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,Existing Customer
715623483,47.0,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,,1695,6872.0,Existing Customer
715156383,44.0,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,Existing Customer
711013983,55.0,F,4,Unknown,Married,$40K - $60K,,45,2,4,3,,0,2158.0,Attrited Customer
755420433,,F,1,Graduate,Married,Unknown,,52,2,3,3,10133.0,1417,8716.0,Existing Customer
794543958,53.0,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,Existing Customer
716396358,52.0,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,,1910,1175.0,Existing Customer
715398033,53.0,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,Existing Customer
711743883,43.0,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,Existing Customer
719720058,44.0,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,Existing Customer
778992108,57.0,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,Existing Customer
717539808,51.0,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,Existing Customer
714070758,49.0,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,Existing Customer
714107958,45.0,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,Existing Customer
789140283,53.0,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,Existing Customer
715550508,45.0,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440,95.0,Existing Customer
719712633,64.0,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,Existing Customer
772629333,45.0,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,Existing Customer
720336708,53.0,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,Existing Customer
802013583,56.0,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,Existing Customer
711887583,47.0,M,2,Unknown,Married,$80K - $120K,,37,2,3,3,5449.0,1628,3821.0,Attrited Customer
714778833,49.0,F,3,College,Single,Unknown,Blue,43,4,4,0,,1960,21072.0,Existing Customer
713843283,41.0,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053,32463.0,Existing Customer
779155158,53.0,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,Existing Customer
721091583,44.0,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,Existing Customer
713572683,44.0,M,3,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,Existing Customer
716657058,43.0,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,Existing Customer
779509983,53.0,M,2,Post-Graduate,Single,$120K +,,36,6,1,2,34516.0,931,33585.0,Existing Customer
717929133,,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,,2440,12010.0,Existing Customer
808284783,,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,,0,1438.3,Existing Customer
708476808,54.0,M,4,Unknown,Divorced,$120K +,,36,6,3,2,33791.0,1960,31831.0,Existing Customer
710916408,57.0,M,4,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886,6580.0,Existing Customer
708492558,42.0,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088.0,865,14223.0,Existing Customer
799825758,,M,4,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674,1589.0,Existing Customer
718619883,,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,,706,788.0,Existing Customer
711844758,48.0,M,3,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294,12257.0,Existing Customer
714798783,49.0,M,1,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895,17991.0,Existing Customer
826762908,52.0,M,3,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273,10703.0,Existing Customer
771894558,50.0,M,3,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559,8405.0,Existing Customer
721074183,49.0,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196,22963.0,Existing Customer
715259583,53.0,F,2,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901,3461.0,Existing Customer
718414008,50.0,M,2,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023,33493.0,Existing Customer
719666283,55.0,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951,1223.0,Existing Customer
714877233,53.0,M,1,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836,10426.0,Existing Customer
785387883,47.0,F,3,High School,Single,$40K - $60K,,41,4,3,3,3788.0,1540,2248.0,Existing Customer
771075258,55.0,M,2,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527,32989.0,Existing Customer
711318033,47.0,M,3,Graduate,Single,$60K - $80K,Blue,36,4,2,2,,0,2926.0,Existing Customer
783554958,58.0,M,4,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0,32090.0,Existing Customer
720201033,53.0,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227,9442.0,Attrited Customer
718039683,52.0,M,2,High School,Single,$40K - $60K,,45,3,1,2,13532.0,1300,12232.0,Existing Customer
710806083,50.0,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090,9798.0,Existing Customer
714752208,42.0,F,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,408.0,Existing Customer
822063408,43.0,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517,3594.0,Existing Customer
714490308,,M,4,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662,17608.0,Existing Customer
713356833,52.0,M,1,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517,1193.0,Existing Customer
711402333,47.0,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797,2438.0,Existing Customer
708296883,44.0,F,3,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788,10961.0,Existing Customer
719154483,53.0,M,2,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100,5653.0,Existing Customer
717721458,,M,4,College,Divorced,$60K - $80K,,40,5,1,0,10408.0,1186,9222.0,Existing Customer
711112683,,F,1,College,Married,Unknown,Blue,36,6,2,3,3967.0,1568,2399.0,Existing Customer
715674483,,F,2,Post-Graduate,Single,Less than $40K,Blue,27,4,2,2,,2517,3688.0,Existing Customer
789322833,48.0,F,5,High School,Married,Less than $40K,,38,1,3,3,8025.0,0,8025.0,Attrited Customer
789968058,51.0,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,,2327,6709.0,Existing Customer
709919283,54.0,M,4,Graduate,Married,$80K - $120K,,34,2,3,2,14926.0,2517,12409.0,Existing Customer
718744008,59.0,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,3,,1128,5207.0,Existing Customer
767712558,,M,1,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,0,14979.0,Attrited Customer
712950783,48.0,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,0,2732.0,Attrited Customer
716104983,,F,2,Graduate,Single,Less than $40K,Blue,32,6,3,2,,2117,133.0,Existing Customer
818839983,55.0,M,2,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0,1536,9380.0,Existing Customer
772288758,47.0,F,4,Graduate,Married,Unknown,Blue,36,4,1,3,5349.0,1228,4121.0,Existing Customer
712350858,41.0,M,2,High School,Married,$80K - $120K,Blue,24,4,1,3,9366.0,1104,8262.0,Existing Customer
711009708,40.0,M,3,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0,0,21617.0,Existing Customer
712720158,68.0,M,1,Graduate,Married,Unknown,Blue,56,5,2,3,13860.0,1652,12208.0,Existing Customer
712215258,50.0,F,1,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,0,18386.0,Existing Customer
773827008,47.0,M,4,Uneducated,Single,$60K - $80K,,41,6,2,2,2405.0,1540,865.0,Existing Customer
795232683,53.0,F,1,College,Married,Less than $40K,,47,4,2,3,,930,1224.0,Existing Customer
713786508,42.0,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,,0,2038.0,Existing Customer
713539833,48.0,F,4,High School,Single,$40K - $60K,Blue,38,6,1,3,8135.0,0,8135.0,Existing Customer
712454058,49.0,M,1,Doctorate,Married,$120K +,,38,6,1,3,9364.0,618,8746.0,Existing Customer
718759833,44.0,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,32643.0,0,32643.0,Existing Customer
718803333,43.0,F,4,Graduate,Divorced,Less than $40K,,34,2,3,1,3195.0,1954,1241.0,Existing Customer
720253908,56.0,M,0,High School,Married,$80K - $120K,Blue,43,5,2,1,2852.0,1024,1828.0,Existing Customer
714133158,59.0,F,1,College,Single,Unknown,,36,2,3,3,,1305,2919.0,Existing Customer
713187033,46.0,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,,2071,18388.0,Existing Customer
714791208,47.0,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482.0,2114,1368.0,Existing Customer
772426383,50.0,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065.0,1570,1495.0,Existing Customer
710975883,51.0,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185.0,1761,424.0,Existing Customer
714264408,47.0,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611.0,746,865.0,Existing Customer
715827858,58.0,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822.0,2173,649.0,Existing Customer
713741358,46.0,M,5,Graduate,Single,$80K - $120K,,33,6,3,3,32975.0,2517,30458.0,Attrited Customer
709531908,53.0,M,3,High School,Married,$60K - $80K,Blue,47,5,2,2,,0,1438.3,Existing Customer
716493408,45.0,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,3,15875.0,1719,14156.0,Existing Customer
714141108,52.0,F,1,High School,Married,Less than $40K,Blue,45,6,3,3,6703.0,893,5810.0,Existing Customer
708953883,53.0,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212.0,0,3212.0,Attrited Customer
712608783,50.0,M,2,High School,Married,$80K - $120K,Silver,45,3,1,3,34516.0,1260,33256.0,Existing Customer
820353558,,F,3,High School,Married,$40K - $60K,Blue,36,4,1,2,9797.0,1434,8363.0,Existing Customer
714964758,45.0,F,5,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400.0,1777,8623.0,Existing Customer
716264358,53.0,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792.0,1836,24956.0,Existing Customer
717296808,67.0,F,1,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006.0,2517,489.0,Existing Customer
712977183,57.0,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,,1072,18410.0,Existing Customer
710829108,,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,,985,2371.0,Existing Customer
779562633,45.0,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771.0,2248,3523.0,Existing Customer
715315833,51.0,M,3,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0,2107,8999.0,Existing Customer
815500983,59.0,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890.0,2001,889.0,Existing Customer
719360583,53.0,M,1,Graduate,Married,$60K - $80K,,45,6,2,2,,1701,1679.0,Existing Customer
709701558,47.0,M,3,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331.0,1251,20080.0,Existing Customer
721148358,49.0,F,3,Uneducated,Single,Unknown,,38,6,2,1,12860.0,0,12860.0,Existing Customer
779862408,49.0,M,3,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,0,6278.0,462,5816.0,Existing Customer
812627208,60.0,F,0,College,Single,Less than $40K,,55,5,1,3,,738,700.3,Existing Customer
711033408,50.0,F,2,High School,Married,Less than $40K,Blue,36,5,1,2,9355.0,1626,7729.0,Existing Customer
779956608,41.0,F,2,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758.0,0,20758.0,Existing Customer
780376683,57.0,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,1,,1976,12636.0,Existing Customer
717912483,43.0,M,4,Graduate,Unknown,$80K - $120K,,27,5,2,0,27259.0,0,27259.0,Existing Customer
714454758,,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347.0,1594,4753.0,Existing Customer
780466533,,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592.0,1676,19916.0,Existing Customer
715735233,51.0,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,,1598,1851.0,Existing Customer
720476733,47.0,F,3,High School,Married,Less than $40K,Blue,34,2,1,2,,799,5229.0,Existing Customer
715872333,41.0,M,0,High School,Unknown,$120K +,Blue,36,3,2,3,,1998,16216.0,Existing Customer
712375758,53.0,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,,1423,14970.0,Existing Customer
708868233,68.0,M,0,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3,900,538.3,Attrited Customer
718030083,59.0,M,1,College,Married,$60K - $80K,Blue,36,4,1,2,7871.0,1687,6184.0,Existing Customer
720707283,48.0,M,4,Unknown,Married,$80K - $120K,Blue,36,5,3,0,5288.0,866,4422.0,Existing Customer
771698658,44.0,M,5,Graduate,Married,$60K - $80K,Blue,32,4,5,3,,2006,9370.0,Existing Customer
748326258,48.0,M,3,College,Married,$80K - $120K,Blue,41,4,5,3,12302.0,1632,10670.0,Existing Customer
770817783,47.0,M,4,Graduate,Married,$60K - $80K,,33,3,2,1,34516.0,1679,32837.0,Existing Customer
779353083,47.0,M,2,Graduate,Married,$60K - $80K,Silver,32,4,2,2,,1468,33048.0,Existing Customer
711441333,43.0,F,1,High School,Divorced,Less than $40K,,35,3,2,2,10514.0,1580,8934.0,Existing Customer
719808558,55.0,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,3,,0,1438.3,Attrited Customer
711551958,,M,2,Post-Graduate,Married,$60K - $80K,,46,3,3,3,1438.3,0,1438.3,Attrited Customer
809164083,63.0,M,1,Graduate,Married,$40K - $60K,Blue,56,2,1,2,2619.0,1779,840.0,Existing Customer
820596183,58.0,M,2,College,Married,$120K +,Blue,53,2,3,0,24407.0,2395,22012.0,Existing Customer
715999608,,F,2,High School,Married,Less than $40K,,36,4,1,2,2377.0,1649,728.0,Existing Customer
710565408,59.0,M,0,Unknown,Unknown,$80K - $120K,,40,3,2,3,34516.0,1359,33157.0,Existing Customer
805543158,52.0,M,3,Graduate,Married,$120K +,,47,5,3,3,,2207,8879.0,Existing Customer
709752183,48.0,M,3,High School,Single,$60K - $80K,,36,4,2,2,11432.0,2517,8915.0,Existing Customer
716479233,43.0,M,4,High School,Married,$40K - $60K,Blue,36,5,3,2,13258.0,1721,11537.0,Existing Customer
713837058,48.0,M,2,College,Single,Less than $40K,,36,3,2,3,2571.0,1955,616.0,Existing Customer
718876683,43.0,F,4,Graduate,Single,Less than $40K,Blue,31,5,2,0,5781.0,1168,4613.0,Existing Customer
770746908,44.0,M,4,Unknown,Married,$60K - $80K,,30,5,1,2,7872.0,2509,5363.0,Existing Customer
794843883,41.0,M,3,High School,Married,$80K - $120K,Blue,35,6,1,2,34516.0,1202,33314.0,Existing Customer
803043933,44.0,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,1,3,11127.0,1835,9292.0,Existing Customer
758076408,50.0,M,2,Unknown,Single,$40K - $60K,Blue,43,2,1,3,,1603,254.0,Existing Customer
714606558,60.0,F,1,Uneducated,Married,Less than $40K,Blue,36,5,1,0,,1272,641.0,Existing Customer
778425408,44.0,M,4,Graduate,Single,$80K - $120K,,24,5,3,0,3839.0,2295,1544.0,Existing Customer
714171108,48.0,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2,3,2115.0,1141,974.0,Existing Customer
719662458,44.0,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2,2,1438.3,679,759.3,Existing Customer
713137233,,M,2,High School,Single,$80K - $120K,Blue,28,4,3,0,27756.0,1789,25967.0,Existing Customer
769425858,45.0,M,3,College,Single,$60K - $80K,Blue,32,4,1,2,1438.3,0,1438.3,Existing Customer
711297483,47.0,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,4,2,13878.0,2222,11656.0,Existing Customer
788900883,51.0,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3,3106.0,1304,1802.0,Existing Customer
758348808,,M,2,Graduate,Married,$120K +,Blue,44,4,3,3,,1666,32850.0,Existing Customer
772336458,60.0,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,4,3,1438.3,1025,413.3,Attrited Customer
708711483,57.0,M,2,Unknown,Married,$80K - $120K,Blue,46,2,3,0,18871.0,1740,17131.0,Existing Customer
717906783,,M,5,Graduate,Single,$120K +,Blue,29,5,2,2,5207.0,1748,3459.0,Existing Customer
719437908,44.0,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,2,17965.0,1644,16321.0,Existing Customer
769433508,43.0,M,1,College,Single,$60K - $80K,,37,6,3,3,2733.0,1819,914.0,Existing Customer
790096533,55.0,M,2,College,Married,$60K - $80K,Blue,48,4,3,2,8863.0,1301,7562.0,Existing Customer
720997383,52.0,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857.0,1833,24.0,Attrited Customer
787541883,44.0,M,3,Graduate,Unknown,$80K - $120K,Blue,33,3,3,3,34516.0,0,34516.0,Existing Customer
709930758,41.0,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,3,3,11107.0,1222,9885.0,Existing Customer
789830058,44.0,M,4,Unknown,Single,$80K - $120K,Blue,34,4,1,2,21573.0,1585,19988.0,Existing Customer
